	PRESF	PASTF	LEMMAF	 REG	NULL	X->{	X->$t	5->u	g5->wEnt
IkspEl->Ik-spEld	9	28	193	1	0	0	0	0	0
m5tIv1t->m5-tI-v1-tId	5	28	187	1	0	0	0	0	0
nVmb3->nVm-b3d	5715	28	7440	1	0	0	0	0	0
bl{st->bl{-stId	178	28	333	1	0	0	0	0	0
l1b3->l1-b3d	1613	28	1793	1	0	0	0	0	0
pr@fEs->pr@-fEst	4	28	64	1	0	0	0	0	0
QrtIkjUl1t->Qr-tI-kjU-l1-tId	123	28	180	1	0	0	0	0	0
smEl->smElt	856	27	1741	1	0	0	0	0	0
kQnstItjut->kQn-stI-tju-tId	54	27	523	1	0	0	0	0	0
@b1->@-b1d	72	27	473	1	0	0	0	0	0
@b_Ekt->@b-_Ek-tId	1080	27	2298	1	0	0	0	0	0
@sEs->@-sEst	47	27	417	1	0	0	0	0	0
p3J@s->p3-J@st	307	27	717	1	0	0	0	0	0
skru->skrud	148	27	503	1	0	0	0	0	0
wItnIs->wIt-nIst	311	27	856	1	0	0	0	0	0
pr1z->pr1zd	255	27	545	1	0	0	0	0	0
g{sp->g{spt	63	27	372	1	0	0	0	0	0
EmptI->Emp-tId	1401	27	1685	1	0	0	0	0	0
rIv2v->rI-v2vd	20	27	270	1	0	0	0	0	0
Vt3->V-t3d	194	27	430	1	0	0	0	0	0
wIp->wIpt	198	27	488	1	0	0	0	0	0
rIkwEst->rI-kwE-stId	492	27	822	1	0	0	0	0	0
prisid->pri-si-dId	5	27	223	1	0	0	0	0	0
h$lt->h$l-tId	222	27	437	1	0	0	0	0	0
IrEkt->I-rEk-tId	115	27	319	1	0	0	0	0	0
dQrk@n->dQr-k@nd	5	27	209	1	0	0	0	0	0
dIpl4->dI-pl4d	12	27	203	1	0	0	0	0	0
st{k->st{kt	138	27	419	1	0	0	0	0	0
kr{m->kr{md	9	27	189	1	0	0	0	0	0
hVd@l->hV-d@ld	22	27	176	1	0	0	0	0	0
t{Ng@l->t{N-g@ld	98	27	277	1	0	0	0	0	0
sEntr@l2z->sEn-tr@-l2zd	2	27	149	1	0	0	0	0	0
sEgrIg1t->sE-grI-g1-tId	2	27	38	1	0	0	0	0	0
s$t->s$-tId	5529	26	6778	1	0	0	0	0	0
trEmb@l->trEm-b@ld	24	26	522	1	0	0	0	0	0
rIzEmb@l->rI-zEm-b@ld	34	26	453	1	0	0	0	0	0
w$m->w$md	1517	26	2054	1	0	0	0	0	0
@s3t->@-s3-tId	41	26	407	1	0	0	0	0	0
{n@l2z->{-n@-l2zd	44	26	403	1	0	0	0	0	0
klVJ->klVJt	83	26	454	1	0	0	0	0	0
InspEkt->In-spEk-tId	38	26	374	1	0	0	0	0	0
stImjUl1t->stI-mjU-l1-tId	36	26	353	1	0	0	0	0	0
plid->pli-dId	11	26	338	1	0	0	0	0	0
t2t@n->t2-t@nd	22	26	316	1	0	0	0	0	0
@fEnd->@-fEn-dId	22	26	310	1	0	0	0	0	0
rItrit->rI-tri-tId	215	26	511	1	0	0	0	0	0
rIgrEt->rI-grE-tId	237	26	508	1	0	0	0	0	0
Qn3->Q-n3d	623	26	850	1	0	0	0	0	0
d{S->d{St	115	26	344	1	0	0	0	0	0
kl{sp->kl{spt	35	26	253	1	0	0	0	0	0
v$lt->v$l-tId	15	26	110	1	0	0	0	0	0
striml2n->strim-l2nd	2	26	20	1	0	0	0	0	0
wik@n->wi-k@nd	32	25	356	1	0	0	0	0	0
gVv@n->gV-v@nd	30	25	340	1	0	0	0	0	0
str5k->str5kt	319	25	783	1	0	0	0	0	0
sw1->sw1d	54	25	362	1	0	0	0	0	0
pEnItr1t->pE-nI-tr1-tId	33	25	309	1	0	0	0	0	0
Ikstr{kt->Ik-str{k-tId	131	25	452	1	0	0	0	0	0
gIg@l->gI-g@ld	55	25	378	1	0	0	0	0	0
Indjus->In-djust	25	25	282	1	0	0	0	0	0
{dv@t2z->{d-v@-t2zd	18	25	277	1	0	0	0	0	0
spIt->sp{t	45	25	325	0	0	1	0	0	0
r{t@l->r{-t@ld	57	25	320	1	0	0	0	0	0
s@v1->s@-v1d	562	25	951	1	0	0	0	0	0
InlQr_->In-lQr_d	16	25	241	1	0	0	0	0	0
str5l->str5ld	60	25	287	1	0	0	0	0	0
InvIzI_->In-vI-zI_d	20	25	225	1	0	0	0	0	0
@d$r->@-d$d	18	25	218	1	0	0	0	0	0
f5t@gr{f->f5-t@-gr{ft	502	25	1281	1	0	0	0	0	0
sVbsId2z->sVb-sI-d2zd	14	25	212	1	0	0	0	0	0
sl2s->sl2st	169	25	523	1	0	0	0	0	0
dIsp3s->dI-sp3st	9	25	177	1	0	0	0	0	0
k@mprEs->k@m-prEst	9	25	178	1	0	0	0	0	0
dIsIplIn->dI-sI-plInd	552	25	873	1	0	0	0	0	0
kl5D->kl5Dd	4	25	158	1	0	0	0	0	0
fl1r->fl1rd	38	25	209	1	0	0	0	0	0
bruz->bruzd	32	25	237	1	0	0	0	0	0
kVp@l->kV-p@ld	2006	25	2449	1	0	0	0	0	0
p5st->p5-stId	1259	25	1679	1	0	0	0	0	0
k@nv1->k@n-v1d	55	24	406	1	0	0	0	0	0
Inv1d->In-v1-dId	22	24	277	1	0	0	0	0	0
ri@S$r->ri-@-S$d	27	24	272	1	0	0	0	0	0
dIkt1t->dIk-t1-tId	20	24	271	1	0	0	0	0	0
Inh{bIt->In-h{-bI-tId	14	24	206	1	0	0	0	0	0
str{Ng@l->str{N-g@ld	7	24	206	1	0	0	0	0	0
t$J3->t$-J3d	208	24	413	1	0	0	0	0	0
sEnt@ns->sEn-t@nst	588	24	1078	1	0	0	0	0	0
5v@wElm->5-v@-wElmd	8	24	164	1	0	0	0	0	0
d1z->d1zd	10	24	161	1	0	0	0	0	0
hVnJ->hVnJt	47	24	211	1	0	0	0	0	0
k@mIS@n->k@-mI-S@nd	1077	24	1344	1	0	0	0	0	0
@prEs->@-prEst	4	24	146	1	0	0	0	0	0
mVf@l->mV-f@ld	2	24	137	1	0	0	0	0	0
6tr1_->6t-r1_d	116	24	262	1	0	0	0	0	0
{bstr{kt->{b-str{k-tId	407	24	467	1	0	0	0	0	0
r1n_->r1n_d	1702	23	2244	1	0	0	0	0	0
InvEstIg1t->In-vE-stI-g1-tId	42	23	412	1	0	0	0	0	0
rIvju->rI-vjud	335	23	737	1	0	0	0	0	0
@sIst->@-sI-stId	48	23	362	1	0	0	0	0	0
SIv3->SI-v3d	49	23	356	1	0	0	0	0	0
p4z@n->p4-z@nd	208	23	556	1	0	0	0	0	0
rir->rird	413	23	694	1	0	0	0	0	0
kQpI->kQ-pId	584	23	1206	1	0	0	0	0	0
b6ns->b6nst	44	23	328	1	0	0	0	0	0
tIlt->tIl-tId	81	23	328	1	0	0	0	0	0
k@nsid->k@n-si-dId	22	23	255	1	0	0	0	0	0
Inh{ns->In-h{nst	23	23	250	1	0	0	0	0	0
kQNk3->kQN-k3d	24	23	249	1	0	0	0	0	0
sIgn@l->sIg-n@ld	617	23	1379	1	0	0	0	0	0
tQp->tQpt	4174	23	4598	1	0	0	0	0	0
f$mjUl1t->f$-mjU-l1-tId	19	23	233	1	0	0	0	0	0
SVd3->SV-d3d	58	23	290	1	0	0	0	0	0
b5l->b5ld	477	23	820	1	0	0	0	0	0
pr5gr{m->pr5-gr{md	2157	23	3318	1	0	0	0	0	0
@w1k@n->@-w1-k@nd	12	23	212	1	0	0	0	0	0
krIp@l->krI-p@ld	40	23	239	1	0	0	0	0	0
lIt3->lI-t3d	142	23	289	1	0	0	0	0	0
st1S@n->st1-S@nd	1658	23	2218	1	0	0	0	0	0
l2t->l2-tId	5072	22	7276	1	0	0	0	0	0
Ikspl$r->Ik-spl$d	55	22	487	1	0	0	0	0	0
pQp->pQpt	654	22	974	1	0	0	0	0	0
pVmp->pVmpt	229	22	648	1	0	0	0	0	0
t2p->t2pt	1651	22	2772	1	0	0	0	0	0
dIp->dIpt	73	22	355	1	0	0	0	0	0
b{N->b{Nd	208	22	514	1	0	0	0	0	0
Jir->Jird	76	22	373	1	0	0	0	0	0
p5k->p5kt	29	22	267	1	0	0	0	0	0
s{krIf2s->s{-krI-f2st	295	22	641	1	0	0	0	0	0
S1v->S1vd	47	22	278	1	0	0	0	0	0
snIf->snIft	31	22	255	1	0	0	0	0	0
SVv->SVvd	35	22	238	1	0	0	0	0	0
@dmInIst3->3d-mI-nI-st3d	13	22	210	1	0	0	0	0	0
dIpIkt->dI-pIk-tId	8	22	209	1	0	0	0	0	0
dIn6ns->dI-n6nst	10	22	205	1	0	0	0	0	0
r1p->r1pt	274	22	461	1	0	0	0	0	0
IlumIn1t->I-lu-mI-n1-tId	10	22	177	1	0	0	0	0	0
Ind$s->In-d$st	10	22	176	1	0	0	0	0	0
s{k->s{kt	211	22	496	1	0	0	0	0	0
f$_->f$_d	48	22	211	1	0	0	0	0	0
spQns3->spQn-s3d	35	22	254	1	0	0	0	0	0
_EsJ3->_Es-J3d	728	22	1212	1	0	0	0	0	0
junIf2->ju-nI-f2d	2	22	157	1	0	0	0	0	0
p{d->p{-dId	191	22	429	1	0	0	0	0	0
$T@r2z->$-T@-r2zd	5	22	138	1	0	0	0	0	0
b{f@l->b{-f@ld	4	22	132	1	0	0	0	0	0
dIsp@zEs->dIs-p@-zEst	1	22	14	1	0	0	0	0	0
sp4l->sp4lt	52	21	547	1	0	0	0	0	0
@w1t->@-w1-tId	27	21	396	1	0	0	0	0	0
fEJ->fEJt	61	21	381	1	0	0	0	0	0
Ju->Jud	26	21	367	1	0	0	0	0	0
Indj$r->In-dj$d	46	21	332	1	0	0	0	0	0
pr5sEs->pr5-sEst	2645	21	3587	1	0	0	0	0	0
spIl->spIld	25	21	338	1	0	0	0	0	0
pl6->pl6d	115	21	403	1	0	0	0	0	0
n{r5->n{-r5d	976	21	1320	1	0	0	0	0	0
rQb->rQbd	26	21	262	1	0	0	0	0	0
trQt->trQ-tId	60	21	309	1	0	0	0	0	0
J5k->J5kt	19	21	265	1	0	0	0	0	0
{dv@k1t->{d-v@-k1-tId	100	21	422	1	0	0	0	0	0
st1_->st1_d	2453	21	3176	1	0	0	0	0	0
hiv->hivd	36	21	291	1	0	0	0	0	0
ImplImEnt->Im-plI-mEn-tId	52	21	327	1	0	0	0	0	0
fl{t3->fl{-t3d	38	21	229	1	0	0	0	0	0
p5stp5n->p5st-p5nd	21	21	210	1	0	0	0	0	0
kl{p->kl{pt	31	21	235	1	0	0	0	0	0
strVkJ3->strVk-J3d	1523	21	2085	1	0	0	0	0	0
blVS->blVSt	38	21	230	1	0	0	0	0	0
s2t->s2-tId	11	21	192	1	0	0	0	0	0
hInt->hIn-tId	281	21	566	1	0	0	0	0	0
f{s@n->f{-s@nd	12	21	186	1	0	0	0	0	0
rEk->rEkt	122	21	329	1	0	0	0	0	0
mINg@l->mIN-g@ld	8	21	180	1	0	0	0	0	0
fl{t@n->fl{-t@nd	7	21	169	1	0	0	0	0	0
b1D->b1Dd	18	21	168	1	0	0	0	0	0
Isk$t->I-sk$-tId	121	21	291	1	0	0	0	0	0
p{r@l2z->p{-r@-l2zd	5	21	152	1	0	0	0	0	0
1lj@n1t->1-lj@-n1-tId	4	21	151	1	0	0	0	0	0
dr1p->dr1pt	8	21	163	1	0	0	0	0	0
dEzIgn1t->dE-zIg-n1-tId	6	21	131	1	0	0	0	0	0
InJ{nt->In-J{n-tId	2	21	115	1	0	0	0	0	0
d{p@l->d{-p@ld	1	21	18	1	0	0	0	0	0
InS$r->In-S$d	180	20	1051	1	0	0	0	0	0
flVrIS->flV-rISt	83	20	401	1	0	0	0	0	0
k{mp->k{mpt	1135	20	1711	1	0	0	0	0	0
k@ntr{kt->k@n-tr{k-tId	556	20	1020	1	0	0	0	0	0
rIkrut->rI-kru-tId	45	20	359	1	0	0	0	0	0
blINk->blINkt	31	20	267	1	0	0	0	0	0
h$l->h$ld	54	20	276	1	0	0	0	0	0
EnvI->En-vId	269	20	465	1	0	0	0	0	0
IgzIbIt->Ig-zI-bI-tId	45	20	266	1	0	0	0	0	0
Srik->Srikt	51	20	293	1	0	0	0	0	0
ImbQrk->Im-bQrkt	13	20	206	1	0	0	0	0	0
Ins3t->In-s3-tId	32	20	230	1	0	0	0	0	0
gr5n->gr5nd	40	20	261	1	0	0	0	0	0
pVnJ->pVnJt	109	20	319	1	0	0	0	0	0
spEsIf2->spE-sI-f2d	13	20	173	1	0	0	0	0	0
b$d->b$-dId	1534	20	2013	1	0	0	0	0	0
pInJ->pInJt	77	20	239	1	0	0	0	0	0
E_->E_d	1363	20	1800	1	0	0	0	0	0
grVnt->grVn-tId	64	20	303	1	0	0	0	0	0
dIsJQr_->dIs-JQr_d	123	20	301	1	0	0	0	0	0
Ir5d->I-r5-dId	6	20	158	1	0	0	0	0	0
Iv{p@r1t->I-v{-p@-r1-tId	7	20	145	1	0	0	0	0	0
slVmp->slVmpt	91	20	215	1	0	0	0	0	0
f{S@n->f{-S@nd	957	20	1292	1	0	0	0	0	0
Inr1_->In-r1_d	2	20	113	1	0	0	0	0	0
J1n->J1nd	585	20	975	1	0	0	0	0	0
ImbEd->Im-bE-dId	1	20	105	1	0	0	0	0	0
pl{st3->pl{-st3d	210	20	296	1	0	0	0	0	0
gIld->gIl-dId	0	20	80	1	0	0	0	0	0
t{k@l->t{-k@ld	375	19	776	1	0	0	0	0	0
kVmf@t->kVm-f@-tId	634	19	1048	1	0	0	0	0	0
stQrv->stQrvd	30	19	364	1	0	0	0	0	0
nIg5SI1t->nI-g5-SI-1-tId	34	19	360	1	0	0	0	0	0
@pQl@_2z->@-pQ-l@-_2zd	44	19	323	1	0	0	0	0	0
gl5->gl5d	249	19	537	1	0	0	0	0	0
pr5grEs->pr5-grEst	1198	19	1465	1	0	0	0	0	0
w3SIp->w3-SIpt	249	19	478	1	0	0	0	0	0
k5$dIn1t->k5-$-dI-n1-tId	22	19	267	1	0	0	0	0	0
Ent@t1n->En-t@-t1nd	28	19	258	1	0	0	0	0	0
Jit->Ji-tId	33	19	275	1	0	0	0	0	0
dIpQzIt->dI-pQ-zI-tId	224	19	642	1	0	0	0	0	0
dIsiv->dI-sivd	25	19	237	1	0	0	0	0	0
@t1n->@-t1nd	24	19	234	1	0	0	0	0	0
vEnJ3->vEn-J3d	154	19	424	1	0	0	0	0	0
hVg->hVgd	49	19	250	1	0	0	0	0	0
lIk->lIkt	22	19	218	1	0	0	0	0	0
tjun->tjund	234	19	464	1	0	0	0	0	0
flIk->flIkt	58	19	249	1	0	0	0	0	0
pIJ->pIJt	330	19	547	1	0	0	0	0	0
InsVlt->In-sVl-tId	175	19	431	1	0	0	0	0	0
@rI_@n1t->@-rI-_@-n1-tId	8	19	175	1	0	0	0	0	0
r6z->r6zd	11	19	161	1	0	0	0	0	0
@bskj$r->@b-skj$d	268	19	418	1	0	0	0	0	0
p$tr1->p$-tr1d	9	19	157	1	0	0	0	0	0
{l5k1t->{-l5-k1-tId	9	19	145	1	0	0	0	0	0
h{r@s->h{-r@st	7	19	145	1	0	0	0	0	0
dImQlIS->dI-mQ-lISt	6	19	133	1	0	0	0	0	0
tr{nsp$t->tr{ns-p$-tId	954	19	1128	1	0	0	0	0	0
lQ_->lQ_d	229	19	396	1	0	0	0	0	0
gir->gird	405	19	584	1	0	0	0	0	0
VS3->V-S3d	64	19	215	1	0	0	0	0	0
dIsp{J->dI-sp{Jt	272	19	393	1	0	0	0	0	0
Imbr4d3->Im-br4-d3d	2	19	117	1	0	0	0	0	0
t3m->t3md	1480	19	1948	1	0	0	0	0	0
klIp->klIpt	39	19	212	1	0	0	0	0	0
s2t->s2-tId	1685	19	1868	1	0	0	0	0	0
lip->lipt	137	18	690	1	0	0	0	0	0
s@rEnd3->s@-rEn-d3d	175	18	410	1	0	0	0	0	0
@ksEl@r1t->@k-sE-l@-r1-tId	21	18	269	1	0	0	0	0	0
m5n->m5nd	37	18	294	1	0	0	0	0	0
s3kjUl1t->s3-kjU-l1-tId	12	18	218	1	0	0	0	0	0
d2v3t->d2-v3-tId	23	18	216	1	0	0	0	0	0
Intrig->In-trigd	48	18	278	1	0	0	0	0	0
hQv3->hQ-v3d	8	18	214	1	0	0	0	0	0
dIb1t->dI-b1-tId	709	18	1017	1	0	0	0	0	0
prIzjum->prI-zjumd	23	18	205	1	0	0	0	0	0
tVg->tVgd	77	18	283	1	0	0	0	0	0
prIz2d->prI-z2-dId	9	18	190	1	0	0	0	0	0
hQrd@n->hQr-d@nd	11	18	179	1	0	0	0	0	0
IntEnsIf2->In-tEn-sI-f2d	14	18	171	1	0	0	0	0	0
@mIt->@-mI-tId	11	18	171	1	0	0	0	0	0
1d->1-dId	986	18	1248	1	0	0	0	0	0
JErIS->JE-rISt	13	18	157	1	0	0	0	0	0
stEr@l2z->stE-r@-l2zd	8	18	155	1	0	0	0	0	0
rIv2z->rI-v2zd	11	18	154	1	0	0	0	0	0
trIm->trImd	113	18	261	1	0	0	0	0	0
QrJ->QrJt	227	18	472	1	0	0	0	0	0
k@mp6nd->k@m-p6n-dId	220	18	512	1	0	0	0	0	0
dQt->dQ-tId	103	18	283	1	0	0	0	0	0
Ind6->In-d6d	3	18	112	1	0	0	0	0	0
{nIm1t->{-nI-m1-tId	5	18	106	1	0	0	0	0	0
pQpjUl1t->pQ-pjU-l1-tId	2	18	100	1	0	0	0	0	0
dIsgVst->dIs-gV-stId	209	18	303	1	0	0	0	0	0
tIn->tInd	513	18	767	1	0	0	0	0	0
@s$t->@-s$-tId	0	18	75	1	0	0	0	0	0
k@nstr1n->k@n-str1nd	3	18	70	1	0	0	0	0	0
pr2z->pr2zd	391	18	653	1	0	0	0	0	0
v4s->v4st	4159	18	4888	1	0	0	0	0	0
kul->kuld	806	17	1281	1	0	0	0	0	0
bEnIfIt->bE-nI-fI-tId	1317	17	2580	1	0	0	0	0	0
Ikskjuz->Ik-skjuzd	440	17	843	1	0	0	0	0	0
glim->glimd	83	17	379	1	0	0	0	0	0
Vnd@m2n->Vn-d@-m2nd	30	17	284	1	0	0	0	0	0
swEl->swEld	101	17	368	1	0	0	0	0	0
Iksid->Ik-si-dId	23	17	267	1	0	0	0	0	0
hil->hild	21	17	265	1	0	0	0	0	0
ripr@djus->ri-pr@-djust	33	17	262	1	0	0	0	0	0
tr1l->tr1ld	277	17	578	1	0	0	0	0	0
mVltIpl2->mVl-tI-pl2d	28	17	256	1	0	0	0	0	0
flIk3->flI-k3d	74	17	315	1	0	0	0	0	0
rIg1n->rI-g1nd	30	17	237	1	0	0	0	0	0
flVt3->flV-t3d	38	17	256	1	0	0	0	0	0
h{m3->h{-m3d	175	17	420	1	0	0	0	0	0
m3_->m3_d	15	17	212	1	0	0	0	0	0
SVf@l->SV-f@ld	27	17	230	1	0	0	0	0	0
s3k@l->s3-k@ld	861	17	1393	1	0	0	0	0	0
p1s->p1st	602	17	875	1	0	0	0	0	0
spl{S->spl{St	78	17	277	1	0	0	0	0	0
wil->wild	499	17	958	1	0	0	0	0	0
k5m->k5md	82	17	255	1	0	0	0	0	0
ful->fuld	626	17	914	1	0	0	0	0	0
p@lut->p@-lu-tId	7	17	153	1	0	0	0	0	0
wID3->wI-D3d	10	17	153	1	0	0	0	0	0
l{S->l{St	24	17	231	1	0	0	0	0	0
plVk->plVkt	20	17	165	1	0	0	0	0	0
d2@l->d2-@ld	52	17	223	1	0	0	0	0	0
5v@kr6d->5-v@-kr6-dId	1	17	139	1	0	0	0	0	0
vQl@ntir->vQ-l@n-tird	114	17	423	1	0	0	0	0	0
dIspl1s->dIs-pl1st	6	17	133	1	0	0	0	0	0
kQk->kQkt	106	17	250	1	0	0	0	0	0
@lQt->@-lQ-tId	2	17	97	1	0	0	0	0	0
f2n->f2nd	2563	17	3141	1	0	0	0	0	0
grup->grupt	5462	17	8555	1	0	0	0	0	0
VnsEt@l->Vn-sE-t@ld	3	17	88	1	0	0	0	0	0
w1t->w1-tId	1664	17	1846	1	0	0	0	0	0
s3tIf2->s3-tI-f2d	2	17	32	1	0	0	0	0	0
prES@r2z->prE-S@-r2zd	1	17	23	1	0	0	0	0	0
@krEdIt->@-krE-dI-tId	0	17	11	1	0	0	0	0	0
@k$d->@-k$-dId	110	16	2119	1	0	0	0	0	0
k@mjunIk1t->k@-mju-nI-k1-tId	62	16	427	1	0	0	0	0	0
f{nsI->f{n-sId	390	16	670	1	0	0	0	0	0
IndVl_->In-dVl_d	36	16	292	1	0	0	0	0	0
tQl@r1t->tQ-l@-r1-tId	42	16	265	1	0	0	0	0	0
rQk->rQkt	1405	16	2331	1	0	0	0	0	0
m@nIpjUl1t->m@-nI-pjU-l1-tId	24	16	237	1	0	0	0	0	0
k{mp1n->k{m-p1nd	1445	16	1946	1	0	0	0	0	0
wIs@l->wI-s@ld	148	16	393	1	0	0	0	0	0
kQf->kQft	197	16	434	1	0	0	0	0	0
skr1p->skr1pt	35	16	246	1	0	0	0	0	0
skwQt->skwQ-tId	86	16	337	1	0	0	0	0	0
lEv@l->lE-v@ld	3379	16	4588	1	0	0	0	0	0
k6nt3->k6n-t3d	517	16	761	1	0	0	0	0	0
prIv1l->prI-v1ld	16	16	205	1	0	0	0	0	0
bum->bumd	262	16	463	1	0	0	0	0	0
skrVb->skrVbd	115	16	297	1	0	0	0	0	0
rIh3s->rI-h3st	10	16	178	1	0	0	0	0	0
k@nf3r->k@n-f3d	9	16	170	1	0	0	0	0	0
klIk->klIkt	85	16	273	1	0	0	0	0	0
EdIt->E-dI-tId	6	16	160	1	0	0	0	0	0
ImbQdI->Im-bQ-dId	10	16	160	1	0	0	0	0	0
SQrp@n->SQr-p@nd	9	16	156	1	0	0	0	0	0
Ind1n_3->In-d1n-_3d	9	16	145	1	0	0	0	0	0
t$mEnt->t$-mEn-tId	92	16	242	1	0	0	0	0	0
pirs->pirst	10	16	142	1	0	0	0	0	0
s@bs2d->s@b-s2-dId	7	16	142	1	0	0	0	0	0
wINk->wINkt	50	16	201	1	0	0	0	0	0
h1l->h1ld	74	16	195	1	0	0	0	0	0
sl$t3->sl$-t3d	212	16	333	1	0	0	0	0	0
hVS->hVSt	61	16	172	1	0	0	0	0	0
klVst3->klVs-t3d	144	16	363	1	0	0	0	0	0
glImps->glImpst	295	16	470	1	0	0	0	0	0
str{p->str{pt	85	16	257	1	0	0	0	0	0
hip->hipt	182	16	337	1	0	0	0	0	0
k@nt{mIn1t->k@n-t{-mI-n1-tId	1	16	96	1	0	0	0	0	0
gl1z->gl1zd	36	16	136	1	0	0	0	0	0
nQt->nQ-tId	136	16	345	1	0	0	0	0	0
ImpQv@rIS->Im-pQ-v@-rISt	1	16	92	1	0	0	0	0	0
Ingr1v->In-gr1vd	1	16	89	1	0	0	0	0	0
b2@s->b2-@st	173	16	271	1	0	0	0	0	0
r1t->r1-tId	2530	16	3877	1	0	0	0	0	0
jild->jil-dId	181	15	607	1	0	0	0	0	0
r1n->r1nd	1261	15	1559	1	0	0	0	0	0
mQnIt3->mQ-nI-t3d	43	15	287	1	0	0	0	0	0
w2d@n->w2-d@nd	19	15	241	1	0	0	0	0	0
kQnt{kt->kQn-t{k-tId	1256	15	1741	1	0	0	0	0	0
fVnd->fVn-dId	411	15	1079	1	0	0	0	0	0
lINg3->lIN-g3d	18	15	215	1	0	0	0	0	0
tVmb@l->tVm-b@ld	29	15	224	1	0	0	0	0	0
smuD->smuDd	598	15	811	1	0	0	0	0	0
bVmp->bVmpt	71	15	289	1	0	0	0	0	0
k5Ins2d->k5-In-s2-dId	18	15	189	1	0	0	0	0	0
Vnd@l2n->Vn-d@-l2nd	13	15	185	1	0	0	0	0	0
sVplImEnt->sV-plI-mEn-tId	134	15	333	1	0	0	0	0	0
@pl$d->@-pl$-dId	12	15	163	1	0	0	0	0	0
TrIl->TrIld	92	15	273	1	0	0	0	0	0
@l3t->@-l3-tId	282	15	436	1	0	0	0	0	0
w$t3->w$-t3d	7749	15	8418	1	0	0	0	0	0
hIs->hIst	46	15	206	1	0	0	0	0	0
fVmb@l->fVm-b@ld	4	15	156	1	0	0	0	0	0
m{st3->m{-st3d	835	15	1292	1	0	0	0	0	0
Vnd@rEstIm1t->Vn-d@-rE-stI-m1-tId	23	15	163	1	0	0	0	0	0
sIdjus->sI-djust	12	15	151	1	0	0	0	0	0
ri@pir->ri-@-pird	12	15	147	1	0	0	0	0	0
sVm@r2z->sV-m@-r2zd	12	15	146	1	0	0	0	0	0
d2->d2d	76	15	232	1	0	0	0	0	0
dIskl5z->dIs-kl5zd	12	15	140	1	0	0	0	0	0
st{b->st{bd	36	15	173	1	0	0	0	0	0
m5ld->m5l-dId	164	15	341	1	0	0	0	0	0
krQp->krQpt	452	15	1097	1	0	0	0	0	0
InrIJ->In-rIJt	10	15	132	1	0	0	0	0	0
sEv3->sE-v3d	9	15	129	1	0	0	0	0	0
bVt@n->bV-t@nd	284	15	594	1	0	0	0	0	0
flIp->flIpt	22	15	139	1	0	0	0	0	0
VnkVv3->Vn-kV-v3d	7	15	122	1	0	0	0	0	0
kr6n->kr6nd	418	15	552	1	0	0	0	0	0
h2t@n->h2-t@nd	5	15	108	1	0	0	0	0	0
@fIlI1t->@-fI-lI-1-tId	4	15	107	1	0	0	0	0	0
dim->dimd	4	15	105	1	0	0	0	0	0
p{t@n->p{-t@nd	1317	15	2213	1	0	0	0	0	0
pIkJ3->pIk-J3d	1905	15	3205	1	0	0	0	0	0
bl{k@n->bl{-k@nd	2	15	91	1	0	0	0	0	0
w$l->w$ld	2374	15	3861	1	0	0	0	0	0
sEnt->sEn-tId	254	15	367	1	0	0	0	0	0
st2l2z->st2-l2zd	1	15	79	1	0	0	0	0	0
dIf3->dI-f3d	47	14	408	1	0	0	0	0	0
tr1d->tr1-dId	2967	14	3517	1	0	0	0	0	0
kQntEmpl1t->kQn-tEm-pl1-tId	38	14	319	1	0	0	0	0	0
spEl->spElt	268	14	653	1	0	0	0	0	0
f@bId->f@-b{d	16	14	301	0	0	1	0	0	0
f@bId->f@-b{d	16	14	301	0	0	1	0	0	0
Int@vin->In-t@-vind	24	14	247	1	0	0	0	0	0
r1_->r1_d	519	14	773	1	0	0	0	0	0
priJ->priJt	17	14	232	1	0	0	0	0	0
Igz3t->Ig-z3-tId	27	14	229	1	0	0	0	0	0
1k->1kt	59	14	304	1	0	0	0	0	0
J{t->J{-tId	208	14	423	1	0	0	0	0	0
drIl->drIld	125	14	350	1	0	0	0	0	0
rIp1r->rI-p1rd	173	14	471	1	0	0	0	0	0
sprINk@l->sprIN-k@ld	30	14	206	1	0	0	0	0	0
fiJ3->fi-J3d	501	14	1039	1	0	0	0	0	0
rif$m->ri-f$md	667	14	1096	1	0	0	0	0	0
pQnd3->pQn-d3d	11	14	174	1	0	0	0	0	0
spr$l->spr$ld	34	14	195	1	0	0	0	0	0
bim->bimd	170	14	406	1	0	0	0	0	0
dIs@pruv->dIs-@-pruvd	16	14	157	1	0	0	0	0	0
h1s@n->h1-s@nd	15	14	156	1	0	0	0	0	0
st$k->st$kt	79	14	312	1	0	0	0	0	0
bEk@n->bE-k@nd	8	14	144	1	0	0	0	0	0
Inv5k->In-v5kt	10	14	144	1	0	0	0	0	0
{Ng3->{N-g3d	936	14	1068	1	0	0	0	0	0
@v3t->@-v3-tId	11	14	137	1	0	0	0	0	0
QfsEt->Qf-sEt	14	14	136	0	1	0	0	0	0
pr@hIbIt->pr@-hI-bI-tId	7	14	134	1	0	0	0	0	0
stup->stupt	26	14	155	1	0	0	0	0	0
k@nf2d->k@n-f2-dId	9	14	126	1	0	0	0	0	0
l3J->l3Jt	30	14	162	1	0	0	0	0	0
_En@r@l2z->_E-n@-r@-l2zd	10	14	124	1	0	0	0	0	0
skrIb@l->skrI-b@ld	17	14	143	1	0	0	0	0	0
